,osm_id,infra_type,geometry,lanes,bridge,lit,length,road_type,length_rp10,val_rp10,length_rp20,val_rp20,length_rp50,val_rp50,length_rp100,val_rp100,length_rp200,val_rp200,length_rp500,val_rp500,NUTS-3,NUTS-2,NUTS-1,NUTS-0,dam_C1_rp10,dam_C1_rp20,dam_C1_rp50,dam_C1_rp100,dam_C1_rp200,dam_C1_rp500,dam_C2_rp10,dam_C2_rp20,dam_C2_rp50,dam_C2_rp100,dam_C2_rp200,dam_C2_rp500,dam_C3_rp10,dam_C3_rp20,dam_C3_rp50,dam_C3_rp100,dam_C3_rp200,dam_C3_rp500,dam_C4_rp10,dam_C4_rp20,dam_C4_rp50,dam_C4_rp100,dam_C4_rp200,dam_C4_rp500,dam_C5_rp10,dam_C5_rp20,dam_C5_rp50,dam_C5_rp100,dam_C5_rp200,dam_C5_rp500,dam_C6_rp10,dam_C6_rp20,dam_C6_rp50,dam_C6_rp100,dam_C6_rp200,dam_C6_rp500,dam_HZ_rp10,dam_HZ_rp20,dam_HZ_rp50,dam_HZ_rp100,dam_HZ_rp200,dam_HZ_rp500
0,41492305,secondary,"LINESTRING (19.6369913 41.7668125, 19.6379008 41.7672474, 19.6384684 41.7674122, 19.639835 41.7673862, 19.6405249 41.7675378, 19.6415825 41.7679374, 19.6419759 41.7682942, 19.6425644 41.7691402, 19.6430291 41.7701349, 19.6431497 41.7709796, 19.6436372 41.7723694, 19.6438914 41.7736903, 19.6439361 41.7743517)",2.0,,yes,1.1640699518777806,secondary,0.9347476318883948,254,1.0961587858288004,226,1.0961594763365257,244,1.096159282768283,247,1.0961592710308214,263,1.0961592710308217,273,AL013,AL01,AL0,AL,"(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(17304.52, 25956.77, 34609.03, 43261.29, 51913.55)","(19717.16, 29575.73, 39434.31, 49292.89, 59151.47)","(20087.12, 30130.68, 40174.24, 50217.81, 60261.37)","(20148.78, 30223.17, 40297.56, 50371.94, 60446.33)","(20477.63, 30716.44, 40955.25, 51194.06, 61432.88)","(20683.16, 31024.73, 41366.31, 51707.89, 62049.47)","(135281.35, 202922.03, 270562.7, 338203.38, 405844.05)","(155955.99, 233933.99, 311911.98, 389889.98, 467867.97)","(157682.54, 236523.81, 315365.08, 394206.35, 473047.62)","(157970.25, 236955.38, 315940.51, 394925.64, 473910.76)","(159504.88, 239257.31, 319009.75, 398762.19, 478514.63)","(160464.02, 240696.02, 320928.03, 401160.04, 481392.05)",153742.62,169932.02,176591.29,177701.12,183620.38,187319.92
1,41492306,primary_link,"LINESTRING (19.6332523 41.7643629, 19.6337624 41.7644889)",1.0,,yes,0.04466663129395511,primary,0.04466666413649309,87,0.04466666413649309,99,0.04466666413649309,114,0.04466666413649309,121,0.04466666413649309,134,0.04466666413649309,146,AL013,AL01,AL0,AL,"(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(750.4, 1125.6, 1500.8, 1876.0, 2251.2)","(830.8, 1246.2, 1661.6, 2077.0, 2492.4)","(884.4, 1326.6, 1768.8, 2211.0, 2653.2)","(907.85, 1361.77, 1815.7, 2269.62, 2723.55)","(951.4, 1427.1, 1902.8, 2378.5, 2854.2)","(991.6, 1487.4, 1983.2, 2479.0, 2974.8)","(6003.2, 9004.8, 12006.4, 15008.0, 18009.6)","(6646.4, 9969.6, 13292.8, 16616.0, 19939.2)","(7075.2, 10612.8, 14150.4, 17688.0, 21225.6)","(7262.8, 10894.2, 14525.6, 18157.0, 21788.4)","(7611.2, 11416.8, 15222.4, 19028.0, 22833.6)","(7932.8, 11899.2, 15865.6, 19832.0, 23798.4)",2098.22,2326.02,2548.23,2649.85,2838.57,3012.77
2,41492307,primary_link,"LINESTRING (19.6345899 41.7657784, 19.6348411 41.7657738, 19.6350518 41.7656716)",1.0,,yes,0.04216925657064228,primary,0.0417707987036223,0,0.0417707987036223,14,0.0417707987036223,30,0.0417707987036223,40,0.0417707987036223,52,0.0417707987036223,65,AL013,AL01,AL0,AL,"(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0.0, 0.0, 0.0, 0.0, 0.0)","(131.58, 197.37, 263.16, 328.95, 394.73)","(281.95, 422.93, 563.91, 704.88, 845.86)","(375.94, 563.91, 751.87, 939.84, 1127.81)","(482.45, 723.68, 964.91, 1206.13, 1447.36)","(563.91, 845.86, 1127.81, 1409.76, 1691.72)","(0.0, 0.0, 0.0, 0.0, 0.0)","(1052.62, 1578.94, 2105.25, 2631.56, 3157.87)","(2255.62, 3383.43, 4511.25, 5639.06, 6766.87)","(3007.5, 4511.25, 6015.0, 7518.74, 9022.49)","(3859.62, 5789.43, 7719.24, 9649.05, 11578.87)","(4511.25, 6766.87, 9022.49, 11278.12, 13533.74)",1305.34,1305.34,1305.34,1305.34,1340.84,1571.63
3,41492310,primary_link,"LINESTRING (19.6344521 41.7651075, 19.6344924 41.7647634, 19.6343331 41.7645759, 19.6341558 41.7645158)",1.0,,yes,0.07973308553215974,primary,0.07923093812859974,174,0.07923093812859974,188,0.07923093812859974,205,0.07923093812859974,214,0.07923093812859974,229,0.07923093812859974,243,AL013,AL01,AL0,AL,"(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(1925.31, 2887.97, 3850.62, 4813.28, 5775.94)","(2008.5, 3012.76, 4017.01, 5021.26, 6025.51)","(2090.95, 3136.43, 4181.91, 5227.38, 6272.86)","(2111.01, 3166.51, 4222.02, 5277.52, 6333.03)","(2144.43, 3216.65, 4288.87, 5361.09, 6433.3)","(2175.63, 3263.45, 4351.26, 5439.08, 6526.9)","(15402.49, 23103.74, 30804.99, 38506.24, 46207.48)","(16068.03, 24102.05, 32136.07, 40170.09, 48204.1)","(16690.49, 25035.74, 33380.98, 41726.23, 50071.48)","(16784.08, 25176.13, 33568.17, 41960.21, 50352.25)","(16940.07, 25410.1, 33880.14, 42350.17, 50820.21)","(17085.66, 25628.48, 34171.31, 42714.14, 51256.97)",5922.51,6199.82,6511.79,6645.49,6868.33,7076.31
4,41492313,primary_link,"LINESTRING (19.6337624 41.7644889, 19.6336181 41.7646174, 19.6336135 41.7647394)",1.0,,yes,0.03267037231595617,primary,0.032202025496407376,87,0.032202025496407376,99,0.032202025496407376,114,0.032202025496407376,121,0.032202025496407376,134,0.032202025496407376,146,AL013,AL01,AL0,AL,"(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(540.99, 811.49, 1081.99, 1352.49, 1622.98)","(598.96, 898.44, 1197.92, 1497.39, 1796.87)","(637.6, 956.4, 1275.2, 1594.0, 1912.8)","(654.51, 981.76, 1309.01, 1636.27, 1963.52)","(685.9, 1028.85, 1371.81, 1714.76, 2057.71)","(714.88, 1072.33, 1429.77, 1787.21, 2144.65)","(4327.95, 6491.93, 8655.9, 10819.88, 12983.86)","(4791.66, 7187.49, 9583.32, 11979.15, 14374.98)","(5100.8, 7651.2, 10201.6, 12752.0, 15302.4)","(5236.05, 7854.07, 10472.1, 13090.12, 15708.15)","(5487.23, 8230.84, 10974.45, 13718.06, 16461.68)","(5719.08, 8578.62, 11438.16, 14297.7, 17157.24)",1512.69,1676.92,1837.13,1910.39,2046.44,2172.03
5,41492331,primary,"LINESTRING (19.6285609 41.7743362, 19.6285145 41.7744997, 19.6283454 41.7745705, 19.6281588 41.7745313, 19.6280639 41.7744053, 19.6280976 41.7742864, 19.6282528 41.7741998, 19.6284447 41.7742204, 19.6285609 41.7743362)",1.0,,,0.13198803562815625,primary,0.05978425845806054,250,0.05978425845806054,264,0.05978425845806054,278,0.05978425845806054,284,0.05978425845806054,297,0.05978425845806054,309,AL013,AL01,AL0,AL,"(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(1653.41, 2480.11, 3306.82, 4133.52, 4960.23)","(1676.95, 2515.42, 3353.9, 4192.37, 5030.85)","(1700.49, 2550.73, 3400.98, 4251.22, 5101.47)","(1710.58, 2565.87, 3421.15, 4276.44, 5131.73)","(1732.44, 2598.65, 3464.87, 4331.09, 5197.31)","(1752.61, 2628.92, 3505.23, 4381.53, 5257.84)","(12947.03, 19420.54, 25894.06, 32367.57, 38841.09)","(13056.88, 19585.32, 26113.76, 32642.21, 39170.65)","(13166.74, 19750.1, 26333.47, 32916.84, 39500.21)","(13213.82, 19820.72, 26427.63, 33034.54, 39641.45)","(13315.82, 19973.73, 26631.65, 33289.56, 39947.47)","(13409.98, 20114.97, 26819.97, 33524.96, 40229.95)",5417.95,5574.88,5731.82,5799.07,5944.8,6045.68
6,41492333,primary,"LINESTRING (19.6289786 41.7747233, 19.6283902 41.774563)",1.0,,,0.05246075103563217,primary,0.052060160338268956,250,0.052060160338268956,264,0.052060160338268956,278,0.052060160338268956,284,0.052060160338268956,297,0.052060160338268956,309,AL013,AL01,AL0,AL,"(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(1439.79, 2159.68, 2879.58, 3599.47, 4319.37)","(1460.29, 2190.43, 2920.57, 3650.72, 4380.86)","(1480.79, 2221.18, 2961.57, 3701.97, 4442.36)","(1489.57, 2234.36, 2979.14, 3723.93, 4468.71)","(1508.61, 2262.91, 3017.21, 3771.51, 4525.82)","(1526.18, 2289.26, 3052.35, 3815.44, 4578.53)","(11274.28, 16911.42, 22548.56, 28185.7, 33822.84)","(11369.94, 17054.91, 22739.88, 28424.85, 34109.82)","(11465.6, 17198.4, 22931.2, 28664.0, 34396.8)","(11506.6, 17259.9, 23013.19, 28766.49, 34519.79)","(11595.42, 17393.14, 23190.85, 28988.56, 34786.27)","(11677.42, 17516.13, 23354.84, 29193.55, 35032.26)",4717.95,4854.61,4991.27,5049.84,5176.73,5264.58
7,41492424,tertiary,"LINESTRING (19.6465109 41.7783986, 19.6454241 41.7787015)",2.0,,,0.09643589871113936,tertiary,0.09641386309047327,0,0.04132323821446997,10,0.04132323821446997,26,0.04132323821446997,29,0.04132323821446997,44,0.04132323821446997,54,AL013,AL01,AL0,AL,"(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0.0, 0.0, 0.0, 0.0, 0.0)","(24.79, 37.19, 49.59, 61.98, 74.38)","(64.46, 96.7, 128.93, 161.16, 193.39)","(71.9, 107.85, 143.8, 179.76, 215.71)","(109.09, 163.64, 218.19, 272.73, 327.28)","(130.58, 195.87, 261.16, 326.45, 391.74)","(0.0, 0.0, 0.0, 0.0, 0.0)","(198.35, 297.53, 396.7, 495.88, 595.05)","(515.71, 773.57, 1031.43, 1289.29, 1547.14)","(575.22, 862.83, 1150.44, 1438.05, 1725.66)","(872.75, 1309.12, 1745.49, 2181.87, 2618.24)","(1044.65, 1566.98, 2089.3, 2611.63, 3133.95)",4218.11,1807.89,1807.89,1807.89,1807.89,1906.24
8,41494389,tertiary,"LINESTRING (19.6324127 41.7631457, 19.6316093 41.7623192, 19.6286026 41.7596582, 19.6278875 41.7591967, 19.6259857 41.7582136, 19.622905 41.7569063, 19.6218411 41.7569293, 19.6188715 41.7563478, 19.6154128 41.7563808, 19.6134186 41.7566489, 19.6118777 41.7565689, 19.6114993 41.7564072, 19.6109505 41.7554925, 19.6101114 41.7547681, 19.608222 41.7538921, 19.6076387 41.7533184, 19.6064542 41.7529862, 19.6020102 41.7528769)",1.0,,,2.992897136120765,tertiary,1.656873479641316,122,1.8633144192917412,130,1.9777967947101194,144,1.97779617001931,155,2.089855548054489,163,2.1384636265715677,172,AL013,AL01,AL0,AL,"(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(6760.04, 10140.07, 13520.09, 16900.11, 20280.13)","(7825.92, 11738.88, 15651.84, 19564.8, 23477.76)","(8722.08, 13083.13, 17444.17, 21805.21, 26166.25)","(9048.42, 13572.63, 18096.83, 22621.04, 27145.25)","(9811.87, 14717.81, 19623.74, 24529.68, 29435.62)","(10328.78, 15493.17, 20657.56, 25821.95, 30986.34)","(54080.35, 81120.53, 108160.7, 135200.88, 162241.05)","(62607.36, 93911.05, 125214.73, 156518.41, 187822.09)","(69776.67, 104665.01, 139553.34, 174441.68, 209330.01)","(72387.34, 108581.01, 144774.68, 180968.35, 217162.02)","(78494.97, 117742.46, 156989.95, 196237.44, 235484.92)","(82630.23, 123945.35, 165260.47, 206575.59, 247890.7)",79066.0,92793.06,105693.46,110756.59,120375.68,127024.74
9,41494392,unclassified,"LINESTRING (19.6076387 41.7533184, 19.6075869 41.7526412, 19.6067966 41.7518939, 19.6060247 41.7507696, 19.6046922 41.7491242, 19.6023765 41.7477598, 19.6005662 41.7471222, 19.5990407 41.7467245, 19.596532 41.746416, 19.5959991 41.7461555, 19.5938487 41.7460732, 19.5913584 41.7462583, 19.5904303 41.7462583, 19.5879859 41.7460664, 19.5871588 41.7460801, 19.5871129 41.7464366, 19.5869567 41.7465874, 19.5845858 41.7463269, 19.5837312 41.7459635, 19.5832074 41.7459498, 19.5827755 41.7456824, 19.5826101 41.745271, 19.5817216 41.7389463)",1.0,,,3.2712068634867153,other,1.7818160645354892,139,1.78182063669814,169,2.2615151574457903,175,2.261515157445791,187,2.261515164081598,201,2.261515164081598,214,AL013,AL01,AL0,AL,"(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(5149.45, 7724.17, 10298.9, 12873.62, 15448.35)","(5684.01, 8526.01, 11368.02, 14210.02, 17052.02)","(7349.92, 11024.89, 14699.85, 18374.81, 22049.77)","(7621.31, 11431.96, 15242.61, 19053.27, 22863.92)","(7923.78, 11885.68, 15847.57, 19809.46, 23771.35)","(8034.03, 12051.05, 16068.07, 20085.08, 24102.1)","(41195.59, 61793.38, 82391.17, 102988.97, 123586.76)","(45472.06, 68208.09, 90944.13, 113680.16, 136416.19)","(58799.39, 88199.09, 117598.79, 146998.49, 176398.18)","(60970.45, 91455.67, 121940.9, 152426.12, 182911.35)","(63362.0, 95043.0, 126724.0, 158405.0, 190086.0)","(63876.5, 95814.74, 127752.99, 159691.24, 191629.49)",69677.92,78578.29,101768.18,105838.91,110503.28,113810.75
10,41494857,residential,"LINESTRING (19.6439346 41.7743237, 19.6521012 41.7747009, 19.6551115 41.7704148, 19.658232 41.7656744, 19.6606621 41.7622613, 19.6613273 41.7620852, 19.6626378 41.7625086, 19.663083 41.7625486, 19.6643528 41.7621412, 19.6695433 41.7597697)",1.0,,,3.0731712647510476,other,0.25125384500135683,104,0.3588602541633282,84,0.6475335467036832,79,1.0598453876878622,80,1.0598448691774118,90,1.0598445590234293,96,AL013,AL01,AL0,AL,"(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(638.18, 957.28, 1276.37, 1595.46, 1914.55)","(782.32, 1173.47, 1564.63, 1955.79, 2346.95)","(1346.87, 2020.3, 2693.74, 3367.17, 4040.61)","(2225.68, 3338.51, 4451.35, 5564.19, 6677.03)","(2437.64, 3656.46, 4875.29, 6094.11, 7312.93)","(2564.82, 3847.24, 5129.65, 6412.06, 7694.47)","(5105.48, 7658.22, 10210.96, 12763.7, 15316.43)","(6258.52, 9387.78, 12517.05, 15646.31, 18775.57)","(10774.96, 16162.44, 21549.92, 26937.4, 32324.87)","(17805.4, 26708.1, 35610.81, 44513.51, 53416.21)","(19501.15, 29251.72, 39002.29, 48752.86, 58503.44)","(20518.59, 30777.89, 41037.18, 51296.48, 61555.77)",8110.47,9839.95,16929.76,27979.92,30682.51,32304.06
11,41494858,unclassified,"LINESTRING (19.6695433 41.7597697, 19.669043 41.7595406, 19.6691255 41.759178, 19.6690484 41.7590249, 19.6655314 41.7577184, 19.6654831 41.7576334, 19.6655682 41.7573768, 19.6655039 41.7572952, 19.6464755 41.7516199)",1.0,,,2.190928251874622,other,1.0915625973261172,111,1.0915624170484752,115,1.2051746618282435,123,1.2051737706519587,137,1.2051749653176893,145,1.2051714376210592,172,AL013,AL01,AL0,AL,"(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(2848.98, 4273.47, 5697.96, 7122.45, 8546.94)","(2892.64, 4338.96, 5785.28, 7231.6, 8677.92)","(3290.13, 4935.19, 6580.25, 8225.32, 9870.38)","(3458.85, 5188.27, 6917.7, 8647.12, 10376.55)","(3555.27, 5332.9, 7110.53, 8888.17, 10665.8)","(3880.65, 5820.98, 7761.3, 9701.63, 11641.96)","(22791.83, 34187.74, 45583.65, 56979.57, 68375.48)","(23141.12, 34711.68, 46282.25, 57852.81, 69423.37)","(26321.01, 39481.52, 52642.03, 65802.54, 78963.04)","(27670.79, 41506.18, 55341.58, 69176.97, 83012.37)","(28442.13, 42663.19, 56884.26, 71105.32, 85326.39)","(31045.22, 46567.82, 62090.43, 77613.04, 93135.65)",36725.62,37577.04,43368.21,46658.3,48538.42,53690.39
12,41494859,residential,"LINESTRING (19.6416715 41.7679993, 19.6424905 41.7673158, 19.6441766 41.7576553, 19.6444248 41.7556786, 19.6464755 41.7516199)",1.0,,,1.8865881614084283,other,1.7677846377255384,181,1.886581523643166,176,1.8865822194781814,193,1.8865824387828338,192,1.8865811731508508,211,1.8865822117727622,225,AL013,AL01,AL0,AL,"(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(0, 0, 0, 0, 0)","(5851.37, 8777.05, 11702.73, 14628.42, 17554.1)","(6150.26, 9225.38, 12300.51, 15375.64, 18450.77)","(6470.98, 9706.47, 12941.95, 16177.44, 19412.93)","(6452.11, 9678.17, 12904.22, 16130.28, 19356.34)","(6680.86, 10021.28, 13361.71, 16702.14, 20042.57)","(6779.9, 10169.86, 13559.81, 16949.76, 20339.71)","(46810.94, 70216.41, 93621.87, 117027.34, 140432.81)","(49202.05, 73803.07, 98404.09, 123005.12, 147606.14)","(51767.82, 77651.72, 103535.63, 129419.54, 155303.45)","(51616.9, 77425.34, 103233.79, 129042.24, 154850.69)","(53187.44, 79781.16, 106374.88, 132968.6, 159562.32)","(53649.68, 80474.52, 107299.36, 134124.2, 160949.04)",81141.31,85179.16,89989.97,89706.99,94305.48,97276.9
